measure,location,sex,age,cause,year,death_rate_per_100k,Code,clean_fuel_access_pct,AveragScore,SafetySecurity,PersonelFreedom,Governance,SocialCapital,InvestmentEnvironment,EnterpriseConditions,MarketAccessInfrastructure,EconomicQuality,LivingConditions,Health,Education,NaturalEnvironment,avg_temp_1991_2020,Continent,temp_category
Deaths,Tonga,Female,<1 year,Poisoning by carbon monoxide,2022,0.1003184051380957,TON,88.6,,,,,,,,,,,,,,25.01,Oceania,Warmer
Deaths,Panama,Male,All ages,Poisoning by carbon monoxide,2023,0.0842475761767875,PAN,100.0,64.32,77.66,67.24,49.81,60.37,59.24,53.52,67.08,60.09,76.36,75.1,57.63,67.8,25.6,North America,Warmer
Deaths,Panama,Female,All ages,Poisoning by carbon monoxide,2023,0.0356946596784257,PAN,100.0,64.32,77.66,67.24,49.81,60.37,59.24,53.52,67.08,60.09,76.36,75.1,57.63,67.8,25.6,North America,Warmer
Deaths,Panama,Male,<1 year,Poisoning by carbon monoxide,2023,0.0439596302587742,PAN,100.0,64.32,77.66,67.24,49.81,60.37,59.24,53.52,67.08,60.09,76.36,75.1,57.63,67.8,25.6,North America,Warmer
Deaths,Panama,Female,<1 year,Poisoning by carbon monoxide,2023,0.0304386746584029,PAN,100.0,64.32,77.66,67.24,49.81,60.37,59.24,53.52,67.08,60.09,76.36,75.1,57.63,67.8,25.6,North America,Warmer
Deaths,Benin,Male,All ages,Poisoning by carbon monoxide,2020,0.0746413688427234,BEN,5.7,,,,,,,,,,,,,,28.02,Africa,Warmer
Deaths,Benin,Female,All ages,Poisoning by carbon monoxide,2020,0.0001317046471167,BEN,5.7,,,,,,,,,,,,,,28.02,Africa,Warmer
Deaths,Benin,Male,<1 year,Poisoning by carbon monoxide,2020,0.0188609018392439,BEN,5.7,,,,,,,,,,,,,,28.02,Africa,Warmer
Deaths,Benin,Female,<1 year,Poisoning by carbon monoxide,2020,0.0005256033224834,BEN,5.7,,,,,,,,,,,,,,28.02,Africa,Warmer
Deaths,Spain,Male,All ages,Poisoning by carbon monoxide,2021,0.1574492351208624,ESP,100.0,,,,,,,,,,,,,,13.07,Europe,Colder
Deaths,Spain,Female,All ages,Poisoning by carbon monoxide,2021,0.0737191260556142,ESP,100.0,,,,,,,,,,,,,,13.07,Europe,Colder
Deaths,Spain,Male,<1 year,Poisoning by carbon monoxide,2021,0.0260687803524721,ESP,100.0,,,,,,,,,,,,,,13.07,Europe,Colder
Deaths,Spain,Female,<1 year,Poisoning by carbon monoxide,2021,0.0133096192242017,ESP,100.0,,,,,,,,,,,,,,13.07,Europe,Colder
Deaths,Belgium,Male,All ages,Poisoning by carbon monoxide,2022,0.3353682401510692,BEL,100.0,,,,,,,,,,,,,,10.67,Europe,Colder
Deaths,Belgium,Female,All ages,Poisoning by carbon monoxide,2022,0.2042721064978903,BEL,100.0,,,,,,,,,,,,,,10.67,Europe,Colder
Deaths,Belgium,Male,<1 year,Poisoning by carbon monoxide,2022,0.0375174932147948,BEL,100.0,,,,,,,,,,,,,,10.67,Europe,Colder
Deaths,Belgium,Female,<1 year,Poisoning by carbon monoxide,2022,0.0242810312444413,BEL,100.0,,,,,,,,,,,,,,10.67,Europe,Colder
Deaths,Togo,Male,All ages,Poisoning by carbon monoxide,2023,0.1091177047375925,TGO,13.2,45.52,66.66,49.86,37.23,43.1,37.55,46.41,35.43,38.8,46.01,55.09,39.99,50.07,27.33,Africa,Warmer
Deaths,Togo,Female,All ages,Poisoning by carbon monoxide,2023,0.0001443657206386,TGO,13.2,45.52,66.66,49.86,37.23,43.1,37.55,46.41,35.43,38.8,46.01,55.09,39.99,50.07,27.33,Africa,Warmer
Deaths,Togo,Male,<1 year,Poisoning by carbon monoxide,2023,0.0292190791951006,TGO,13.2,45.52,66.66,49.86,37.23,43.1,37.55,46.41,35.43,38.8,46.01,55.09,39.99,50.07,27.33,Africa,Warmer
Deaths,Togo,Female,<1 year,Poisoning by carbon monoxide,2023,0.0002688177667211,TGO,13.2,45.52,66.66,49.86,37.23,43.1,37.55,46.41,35.43,38.8,46.01,55.09,39.99,50.07,27.33,Africa,Warmer
Deaths,Gabon,Male,All ages,Poisoning by carbon monoxide,2019,0.097877883333662,GAB,89.4,,,,,,,,,,,,,,25.2,Africa,Warmer
Deaths,Gabon,Female,All ages,Poisoning by carbon monoxide,2019,0.0011673287130287,GAB,89.4,,,,,,,,,,,,,,25.2,Africa,Warmer
Deaths,Gabon,Male,<1 year,Poisoning by carbon monoxide,2019,0.333178315675206,GAB,89.4,,,,,,,,,,,,,,25.2,Africa,Warmer
Deaths,Gabon,Female,<1 year,Poisoning by carbon monoxide,2019,0.0037033359665165,GAB,89.4,,,,,,,,,,,,,,25.2,Africa,Warmer
Deaths,Equatorial Guinea,Male,All ages,Poisoning by carbon monoxide,2021,0.1180781971881966,GNQ,22.8,,,,,,,,,,,,,,24.66,Africa,Warmer
